Question,Réponse,Matière,,,,
"Que fait l'instruction ""test"" ?","Equivalent à l'instruction ""add"" sans stocker le résultat",Les instructions en assembleur,,,,
"Que fait l'instruction ""je"" ?",Jump si ZF (égal),Les instructions en assembleur,,,,
"Que fait l'instruction ""jne"" ?",Jump si not ZF (pas égal),Les instructions en assembleur,,,,
"Que fait l'instruction ""js"" ?",Jump si SF (négatif),Les instructions en assembleur,,,,
"Que fait l'instruction ""jns"" ?",Jump si not SF (pas négatif),Les instructions en assembleur,,,,
"Que fait l'instruction ""jg"" ?",Jump si (SF et ZF) (strictement supérieur) µ prend en compte l'overflow eventuel,Les instructions en assembleur,,,,
"Que fait l'instruction ""jl"" ?",Jump si not (SF et ZF) (pas strictement supérieur) µ prend en compte l'overflow eventuel,Les instructions en assembleur,,,,
"Que fait l'instruction ""jge"" ?",Jump si SF (supérieur ou égal) µ prend en compte l'overflow eventuel,Les instructions en assembleur,,,,
"Que fait l'instruction ""jle"" ?",Jump si not SF (pas supérieur ou égal) µ prend en compte l'overflow eventuel,Les instructions en assembleur,,,,
Que modifient les instructions de jump ?,Modifie le contenu du registre %eip,Les instructions en assembleur,,,,
Dans quel structure de code est-ce que les instruction jump sont très utiles ?,Les boucles for et while,Les instructions en assembleur,,,,
"Que fait l'instruction ""pushl %reg"" ?","Place le contenu de %reg au dessus du sommet de la pile, decrémente le registre %esp de 4 unités.",Les instructions en assembleur,,,,
"Comment peut-on implémenter l'instruction ""pushl %reg"" en utilisant 2 autres instructions ?","subl $4, %esp µ movl %reg, (%esp)",Les instructions en assembleur,,,,
"Que fait l'instruction ""popl %reg"" ?","Retire le mot de 32 bits du sommet de la pile et le place dans %reg, incrémente %esp de 4",Les instructions en assembleur,,,,
"Comment peut-on implémenter l'instruction ""popl %reg"" en utilisant 2 autres instructions ?","movl (%esp), %reg µ addl $4, %esp",Les instructions en assembleur,,,,
"En langage assembleur, à quoi revient l'exécution d'une fonction ?",A modifier le contenu de %eip en placant le pointeur d'instruction au début de la fonction appélée. µ Les arguments de la fonction sont placés sur la pile. µ La valeur de retour de la fonction sont stockée dans le registre %eax.,Les instructions en assembleur,,,,
Quelles sont les 3 causes d'erreur que l'OS peut identifier ?,1. Accès a un segment de mémoire non autorisé µ 2. Utilisation d'opération arithmétique non supportée (div par 0) µ 3. Utilisation en mode utilisateur d'une instruction autorisée seulement en mode protégé,Services de l'OS,,,,
A quel cause d'erreur correspond segfault ?,A un accès à un segment de mémoire non autorisé.,Services de l'OS,,,,
"Définis ""breakpoint""",Adresse d'instruction ou le debugger va s'arrêter pour permettre au développeur d'analyser l'exécution du programme.,Services de l'OS,,,,
Comment est-ce que l'OS gère les accès des applications aux périphériques ?,L'OS fournit aux applications des services d'entrée/sortie au travers d'abstractions facilement manipulables par un programmeur.,Services de l'OS,,,,
Quels sont les 3 objectifs derrière le partage des ressources par l'OS ?,1. Utilisation efficace µ 2. Partage équitable des ressources µ 3. Isolation des ressources utilisées par un processus/utilisateur,Le partage des ressources,,,,
Quels sont les 3 services nécessaires au partage des ressources ?,1. Allocation des ressources µ 2. Contrôle d'usage µ 3. Protection d'accès,Le partage des ressources,,,,
Pourquoi est-ce que l'allocation des ressources est nécessaire au partage des ressources ?,Certaines ressources doivent être accessible de manière exclusive (ex: Clavier) alors que d'autres doivent être accessible de manière partagée (ex: Adaptateur réseau),Le partage des ressources,,,,
Pourquoi est-ce que le controle d'usage est nécessaire au partage des ressources ?,Il faut savoir quel processus/utilisateur accède à quelle quantité de ressources,Le partage des ressources,,,,
Pourquoi est-ce que la protection d'accès est nécessaire au partage des ressources ?,Il faut vérifier si un programme/utilisateur à l'autorisation d'utiliser une ressource,Le partage des ressources,,,,
Que permettent les appels systèmes ?,Ils permettent aux programmes d'interagir avec le système d'exploitation,Appels systèmes,,,,
Que sont les appels systèmes ?,Des fonctions placés dans le Kernel qui sont utilisables par les processus lancés par les utilisateurs.,Appels systèmes,,,,
Qu'est ce que le Kernel ?,Programme spécial qui est toujours présent en mémoire. µ Contient les appels systèmes (fonctions). ,Appels systèmes,,,,
Quels sont les 6 étapes suivies lors du lancement d'une fonction par un programme ?,1. Placer arguments dans la pile µ 2. Sauvegarder sur la pile l'adresse de retour µ 3. Modifier %eip pour que le pointeur pointe vers le début de la fonction appelée µ 4. Récupérer les arguments de la fonction sur la pile µ 5. Sauvegarder le résultat de la fonction dans %eax µ 6. Retourner à instruction qui suit l'appel de la fonction en modifiant %eip,Appels systèmes,,,,
Compare l'exécution suivant l'appel à une fonction et l'exécution suivant l'appel à un appel système.,Les 6 étapes sont les même. µ Le flux d'exécution des instructions d'un appel système doit passer du programme utilisateur au noyau du système d'exploitation.,Appels systèmes,,,,
"Sous Linux, où sont placés les arguments d'un appel système ?","Dans des registres (%ebs, %exc, ...)",Appels systèmes,,,,
Pourquoi les arguments d'un appel système sont-ils placés dans des registres ?,Pour permettre au Kernel d'y accéder facilement.,Appels systèmes,,,,
Que peux-tu dire sur le Kernel lors du démarrage de l'ordinateur ?,"Lorsqu'un ordinateur démarre, le proceseur est placé en mode PROTEGE et le kernel se charge en initialisant plusieurs structures de données et en lancant init() (premier processus système). init() place le processeur en mode UTILISATEUR.",Appels systèmes,,,,
Quels sont les deux moyens possibles pour qu'une instruction du Kernel soit executée ?,1. Interruption matérielle µ 2. Processus utilisateur execute un appel système,Appels systèmes,,,,
Qu'est ce qui arrive lors d'une interruption matérielle ?,Le processeur passe en mode protégé et le Kernel exécute la routine de traitement d'interruption correspondant à l'interruption qui est apparue.,Appels systèmes,,,,
Qu'est ce qui arrive lors d'une appel système ?,Une instruction spéciale démarre (= interruption logicielle) et place le processeur en mode PROTEGE puis elle exécute une instruction placée à une adresse spéciale en mémoire.,Appels systèmes,,,,
Pourquoi est-ce que Unix est developpé avec un système de couches ?,Pour être facilement modulable = µ 1 débug à débugger µ 2. facile à modifier,Structure en couches d'Unix,,,,
Que fait la couche 0 d'Unix ?,"Via le driver de périphériques, elle tansforme des requêtes pour des blocs de données en des commandes bas niveau pour par exemple actionner le bras de lecture du disque.",Structure en couches d'Unix,,,,
Que fait la couche 1 d'Unix ?,"Elle construit une abstraction de volumes de données, correspondant aux disques virtuels (volumes) µ N'a pas connaissance de la notion de fichiers/répertoires",Structure en couches d'Unix,,,,
Que fait la couche 2 d'Unix ?,Elle fait la correspondance entre les blocs de données et les notions haut-niveau que sont les fichiers et les répertoires.,Structure en couches d'Unix,,,,
Quels sont les 2 avantages d'une structure en couches pour un OS ?,"1. Plus facile d'isoler les différentes fonctionnalités et de porter l'OS d'un environnement à un autre (ex: passer d'un SSD à un HDD ne change que la couche 0) µ 2. Plus simple a débugger (test de la couche 0, puis 1, etc)",Structure en couches d'Unix,,,,
Quels sont les 2 inconvénients d'une structure en couches pour un OS ?,1. Les appels systèmes doivent désormais utiliser une succession d'appels entre les couches µ 2. Difficile à structurer clairement car les services systèmes sont souvent interdépendants,Structure en couches d'Unix,,,,
Quels sont les deux éléments que combine la strucure en module ?,"1. Coeur du système d'exploitation contenant les services fondamentaux du système (gestion de processus, gestion de mémoire virtuelle) µ 2. Un certains nombre de modules s'occupant des autres fonctionnalités",Structure en modules de Linux,,,,
Quels sont les 3 avantages d'une structure en modules ?,1. Facile à débugger si les modules ont des interfaces bien définies µ 2.  Facilite l'évolution de l'OS et sa portabilité sur d'autres systèmes µ 3. Résoud le problème d'interdépendances entre les couches,Structure en modules de Linux,,,,
Quel est l'inconvénient d'une structure en modules ?,Problème de fiabilité car il y a une grande quantité de code exécuté en mode protégé au sein du noyau.,Structure en modules de Linux,,,,
Quelle solution peut résoudre l'inconvénient d'une structure en modules ?,"Un micro-noyau, on réduit la taille du noyau au strict minimym et on met le reste des fonctionnalités sous forme de programmes en espace utilisateur.",Structure en modules de Linux,,,,
"Définis ""thread""",Séquence d'instructions qui utilise un bloc de registres.,Utilisation de plusieurs threads,,,,
Qu'est ce qu'est POSIX ?,Librairie qui permet d'utiliser les threads en langage C.,Utilisation de plusieurs threads,,,,
Quelles sont les 4 raisons qui rend les threads importants ?,1. Seule façon de tirer parti de la performance des processeurs multi-coeurs. µ 2. Exécution de plusieurs applications en temps partagé sur un même système. µ 3. Découpage d'une application en composants semi-indépendants. µ 4. Facilite le développement d'applications interactives,Utilisation de plusieurs threads,,,,
Quels sont les deux éléments qu'un thread crée lors de sa création ?,1. Sa propre Stack µ 2. Son propre contexte (= registres),Utilisation de plusieurs threads,,,,
"Définis ""section critique""",Séquence d'instructions qui ne peuvent jamais être exécutées par plusieurs threads simultanément.,Section critique,,,,
Quels sont deux mécanismes utilisés pour gérer les sections critiques ?,1. mutex µ 2. sémaphores,Section critique,,,,
Définis le problème de l'exclusion mutuelle,Trouver un algorithme qui permet de garantir qu'il n'y aura jamais 2 threads qui simultanément exécuteront des instructions de leur section critique.,Section critique,,,,
Comment est ce que les threads fonctionnent sur un processeur mono-thread.,Les différents threads s'entrelacent.,Section critique,,,,
Quel acteur s'occupe de passer le fil d'exécution d'un thread à un autre ?,Le Scheduler,Section critique,,,,
Lors d'un passage du fil d'exécution d'un thread à un autre que se passe t-il ?,Il y a un changemetn de contexte.,Section critique,,,,
"Sur un système UNIX, quels 2 phénomènes peuvent être à l'origine d'un changement de contexte ?",1. Interruption matérielle µ 2. Appel système bloquant,Section critique,,,,
Quelle est la caractéristique d'un appel système non-bloquant ?,Appel système que le système d'exploitation peut exécuter immédiatement. Retourne généralement une valeur qui fait partie des données du système d'exploitation lui-même.,Section critique,,,,
Quelle est la caractéristique d'un appel système bloquant ?,Appel système dont le résultat ne peut pas toujours être fourni immédiatement.,Section critique,,,,
Quels sont les 3 états possibles d'un thread ?,1. Ready µ 2. Running µ 3. Blocked,Section critique,,,,
"Définis l'état ""Ready"" d'un thread",Aucune instruction ne s'exécute sur un processeur mais elles sont prêtes à l'être dés qu'un processeur se libèrera,Section critique,,,,
"Définis l'état ""Running"" d'un thread",Les instructions du threads s'exécutent sur un processeur,Section critique,,,,
"Définis l'état ""Blocked"" d'un thread","Aucune instruction ne s'exécute sur un processeur. Le thread a exécuté un appel système bloquant, le système attend l'information permettant de retourner le résultat de l'appel système.",Section critique,,,,
Qui gère les transitions entre les différents états d'un thread ?,L'OS,Section critique,,,,
Comment est-ce qu'un thread passe de l'état RUNNING à l'état BLOCKED ?,En exécutant un appel système bloquant.,Section critique,,,,
Comment est-ce qu'un thread passe de l'état BLOCKED à l'état RUNNING ?,Cela dépend de l'OS,Section critique,,,,
Comment est-ce qu'un thread passe de l'état RUNNING à l'état READY ?,Cela dépend de l'OS,Section critique,,,,
Que sont les mutex et que permettent-ils ?,Les mutex sont une structure de données permettant de contrôler l'accès à une ressource.,Les mutex,,,,
Quels sont les deux états possibles d'un mutex ?,1. locked µ 2. unlocked,Les mutex,,,,
"Quand un mutex à l'état ""locked"" que se passe-t-il concrètement ?",La ressource est actuellement utilisée,Les mutex,,,,
"Quand un mutex à l'état ""unlocked"" que se passe-t-il concrètement ?",La ressource est accessible sans violer l'exclusion mutuelle,Les mutex,,,,
Que se passe-t-il quand un thread appelle lock() alors que le mutex est réservé ?,Ce thread sera interrompu et placé en état BLOCKED jusqu'à la libération de ce mutex.,Les mutex,,,,
Quels sont les deux éléments qu'un sémaphore contient ?,1. entier non signé ù 2. file de pointeurs vers les threads en attente sur ce sémaphore,Les sémaphores,,,,
Quelle est la différence entre un mutex et un sémaphore au niveau des appels de leurs fonctions ?,Pour un mutex c'est le même thread qui va le lock/unlock. µ Pour un sémaphore les appels aux fonctions wait et post peuvent très bien être effectués par des threads différents.,Les sémaphores,,,,
Quels sont les 4 problèmes de synchronisation étudiés dans le cadre du cours ?,1. Philosophes µ 2. Rendez-vous µ 3. Readers-Writers µ 4. Producteurs-Consommateurs,Les sémaphores,,,,
Décris le problème des philosophes,"Coordonner l’accès de plusieurs threads à plusieurs ressources, chacune de ces ressources devant être utilisée de façon exclusive",Les sémaphores,,,,
Décris le problème de rendez-vous,"Chacun de ces threads travaille en deux phases. Durant la
première phase, tous les threads sont indépendants et peuvent s’exécuter simultanément. Cependant, un thread
ne peut démarrer sa seconde phase que si tous les N threads ont terminé leur première phase.",Les sémaphores,,,,
Décris le problème des readers-writers,Des threads doivent accéder à une base de données. Ou plusieurs readers peuvent s’exécuter simultanément et ou un writer peut accéder au données que si aucune writer et aucun reader n'y accèdent.,Les sémaphores,,,,
Décris le problème des producteurs-consommateurs,Producteurs et consommateurs qui utilisent un même buffer à capacité limitée. Les deux types doivent avancer à leur rythme sans que les producteurs ne bloquent inutilement les consommateurs et inversement.,Les sémaphores,,,,
"Que fait le qualitifcatif de variable ""volatile"" ?",Il force le compilateur ) recharger la variable depuis la mémoire avant chaque utilisation.,"Les variables ""volatile""",,,,
"Quels sont les impacts du qualificatif de variable ""volatile"" ?",1. Augmente le nombre d'accès à la mémoire ==> diminue performances µ 2. Sécurise un code multi-threadé en assurant que la variable est bien à jour pour tous les threads,"Les variables ""volatile""",,,,
"Que fait le qualitifcatif de variable ""__thread"" ?","La variable qualifiée n'est accessible que pour le thread qui l'a créée, chaque thread dispose de sa propre version de la variable",__thread,,,,
"Quand une fonction est qualifiée de ""thread-safe"", qu'est ce que cela veut dire concrètement ?",Cette fonction peut être utilisée de manière concurrente sans aucun risque d'incohérence.,Les fonctions thread-safe,,,,
Qu'est ce qu'est un processus ?,Instance de programme qui est en train d'être exécutée sur un/plusieurs processeurs sous le contrôle de l'OS.,Les processus,,,,
Quels sont les 3 éléments contenu par un processus ?,1. Ensemble d'instructions pour le processeur µ 2. Données stockées en mémoire µ 3. Un contexte / des contextes si multi-threadé,Les processus,,,,
Qu'est ce qu'un contexte contenu dans un processus ?,C'est l'ensemble des données qui permettent de reprendre l'exécution d'un processus qui a été interrompu.,Les processus,,,,
"L'OS maintient certain éléments durant la vie d'un processus, que sont-ils et comment évoluent-ils lors de la vie d'un processus ?",L'OS maintient un certain nombre de structures de données qui sont nécessaires au bon fonctionnement du processus. µ Elles sont créees au démarrage du processus. µ Elles sont mises à jour durant la vie du processus. µ 3. Elles sont supprimées lorsque le processus se termine.,Les processus,,,,
Quelles sont les 4 étapes de la création d'un processus ?,1. Shell localise le fichier exécutable µ 2. Shell demande au noyau de créer un nouveau processus µ 3. Le nouveau processus demande au noyau le chargement de l'exécution du code du fichier programme µ 4. Shell attend la fin de l'exécution du processus créé et récupère sa valeur de retour,Les processus,,,,
"Que fait l'appel système ""fork"" ?",Permet de créer un processus en créant une copie du processus qui l'a appelé.,Les processus,,,,
"Comment appelle-t-on le processus qui a fait l'appel système ""fork"" ?","""père""",Les processus,,,,
"Comment appelle-t-on le processus né d'un appel système ""fork"" ?","""fils""",Les processus,,,,
"Que retourne l'appel système ""fork"" en cas d'erreur et que cela signifie-t-il ?",-1 µ Aucune processus n'est créé,Les processus,,,,
"Que retourne l'appel système ""fork"" au processus PERE en cas d'exécution normale et que cela signifie-t-il ?",une valeur positive = identifiant du processus FILS µ Processus créé !,Les processus,,,,
"Que retourne l'appel système ""fork"" au processus FILS en cas d'exécution normale et que cela signifie-t-il ?",0 µ Processus créé !,Les processus,,,,
"Quand on dit que l'appel système ""fork"" copie un processus, on sous-entend qu'il le copie dans son entièreté, quels sont les éléments des segments de mémoire qui sont donc copiés ?","text, data, heap µ context, stack",Les processus,,,,
"Lors d'un appel système ""fork"" quels éléments ne sont pas copiés dans le processus fils ?",Les autres threads du processus père.,Les processus,,,,
Que peux-tu dire sur la destination d'écriture des processus père et fils ?,Ils écrivent sur les mêmes sorties.,Les processus,,,,
Quels sont les deux moyens pour marquer la fin d'un processus ?,1. return dans la fonction main µ 2. exit,Les processus,,,,
"Que fait la fonction ""atexit"" ?",Elle permet d'enregister des fonctions qui seront appelées lors de l'exécution de la fonction exit,Les processus,,,,
Comment est-ce qu'un processus père peut-il récupérer le statut de son processus fils ?,"Via la l'appel système ""waitpid"".",Les processus,,,,
"Définis l'appel système ""waitpid""","""waitpid"" permet à un processus père de récupérer le statut de son processus fils µ ""waitpid"" est un appel système bloquant",Les processus,,,,
"Quels sont les 3 arguments et leur type de l'appel système ""waitpid"" ? ",1. pid_t pid: id du processus fils (<0 si on considère n'importe quel processus fils) µ 2. int* status : pointer vers un entier qui contiendra le statut retourné par le processus fils µ 3. int options : pas vu au cours,Les processus,,,,
"Comment est-il possible de traduire l'appel système ""wait(p)"" avec l'appel système ""waitpid"" ?","""waitpid(-1, p, 0)""",Les processus,,,,
Est-ce qu'un processus père peut terminer sans la terminaison de ses processus fils dans un cadre d'exécution sans erreur ?,"Non, un processus père DOIT attendre la fin de ses processsus fils dans un cadre d'exécution sans erreur.",Les processus,,,,
"Comment appelle-t-on un processus fils dont le processus père s'est interrompu sans arriver à l'appel système ""waitpid"" ?","On appelle ce processus fils ""orphelin"".",Les processus,,,,
"Lorsqu'un processus fils est déclaré comme ""orphelin"", qu'est ce que le Kernel va faire ?",Il va modifier les structures de l'orphelin pour que son père soit le processus dont l'indentifiant est 1 = processus init,Les processus,,,,
Comment appelle-t-on un processus fils qui a terminé mais dont la valeur de retour n'a pas encore été récupérée par son processus père ?,"On appelle ce processus fils ""zombie"".",Les processus,,,,
"Lorsqu'un processus fils est déclaré comme ""zombie"", qu'est ce que le Kernel va faire ?",Il libère l'ensemble des ressources associées au processus fils et ne conserve qu'une petite structure de données.,Les processus,,,,
"Pourquoi est-ce qu'il est préférable d'éviter les processus fils ""zombie"" ?","Car même si le Kernel vient libérer la majorité des ressources associées à ces processus fils ""zombie"" ils consomment quand même un peu de ressources.",Les processus,,,,
"Que fait l'appel système ""execve"" ?",Il permet l'exécution d'un programme. L'image en mémoire du processus qui exécute execve est remplacé par l'image de l'exécutable passée en argument à execve et son exécution démarre à sa fonction main.,Les processus,,,,
"Quels sont les 3 arguments de l'appel système ""execve"" ?",1. const char *path : nom complet fichier du exécutable qui doit être lancé µ 2. char *const argv[] : arguments à passer à l'exécutable µ 3. char *const envp[] : pointer vers l'environnement qui sera nécessaire à l'exécution du programme,Les processus,,,,
"Quand un processus multi-threadé exécute l'appel système ""execve"", qu'arrive-t-il à ses threads ?",Ils sont immédiatement supprimés.,Les processus,,,,
Qu'est ce que la table des processus ?,C'est une liste complète des processus en cours d'exécution.,Les processus,,,,
Quels sont les 3 moyens de consulter la table des processus ?,1. ps µ 2. top µ 3. pstree,Les processus,,,,
